"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.934,624.001470490242,"MD",2018,"Maryland",783.581291494328,0
1977,0.934,634.928857911606,"MD",2018,"Maryland",796.43630416939,0
1978,0.934,650.465276202156,"MD",2018,"Maryland",835.285167771017,0
1979,0.934,647.372119907313,"MD",2018,"Maryland",822.137724114959,0
1980,0.934,607.307323057122,"MD",2018,"Maryland",744.91259421931,0
1981,0.934,607.723955261927,"MD",2018,"Maryland",722.689267663247,0
1982,0.934,618.623992171547,"MD",2018,"Maryland",736.562970440195,0
1983,0.934,619.84082388236,"MD",2018,"Maryland",772.744426191281,0
1984,0.934,665.769832082628,"MD",2018,"Maryland",826.475438199077,0
1985,0.934,692.790028794873,"MD",2018,"Maryland",858.308846841778,0
1986,0.934,717.705282781784,"MD",2018,"Maryland",898.636684190185,0
1987,0.934,740.041463688658,"MD",2018,"Maryland",948.058003024095,0
1988,0.934,779.160595348348,"MD",2018,"Maryland",1001.36427552232,0
1989,0.934,784.286259642633,"MD",2018,"Maryland",1000.51924875554,0
1990,0.934,794.133201174453,"MD",2018,"Maryland",982.033339175016,0
1991,0.934,798.466737319356,"MD",2018,"Maryland",929.216237586282,0
1992,0.934,832.295452112693,"MD",2018,"Maryland",913.826793615253,0
1993,0.934,853.95225337022,"MD",2018,"Maryland",968.171257204584,0
1994,0.934,869.607648418101,"MD",2018,"Maryland",982.985022795329,0
1995,0.934,859.061512413493,"MD",2018,"Maryland",1005.11757862998,0
1996,0.934,866.007407259787,"MD",2018,"Maryland",987.583985933601,0
1997,0.934,892.05153305108,"MD",2018,"Maryland",1013.9038738225,0
1998,0.934,926.287930230912,"MD",2018,"Maryland",1053.78494454597,0
1999,0.934,967.76274215266,"MD",2018,"Maryland",1055.74024783354,0
2000,0.934,987.872530285814,"MD",2018,"Maryland",1085.03951686039,0
2001,0.934,1004.32742829059,"MD",2018,"Maryland",1080.44817810256,0
2002,0.934,951.298120016343,"MD",2018,"Maryland",1068.92595088176,0
2003,0.934,954.236715083266,"MD",2018,"Maryland",1048.27079258122,0
2004,0.934,993.460760579593,"MD",2018,"Maryland",1112.57394053885,0
2005,0.934,1055.94525438836,"MD",2018,"Maryland",1149.96853894096,0
2006,0.934,1093.67532748659,"MD",2018,"Maryland",1207.84879190209,0
2007,0.934,1121.11578150863,"MD",2018,"Maryland",1220.97664779546,0
2008,0.934,1097.1727372081,"MD",2018,"Maryland",1226.18916512231,0
2009,0.934,1037.14111917354,"MD",2018,"Maryland",1182.42992725729,0
2010,0.934,996.83564625601,"MD",2018,"Maryland",1136.54390561787,0
2011,0.934,1020.01519841935,"MD",2018,"Maryland",1165.4764904992,0
2012,0.934,1051.32902321842,"MD",2018,"Maryland",1199.33259859405,0
2013,0.934,1078.22942078987,"MD",2018,"Maryland",1243.63533700746,0
2014,0.934,1075.40239727087,"MD",2018,"Maryland",1271.91863951843,0
2015,0.934,1134.67722439205,"MD",2018,"Maryland",1338.44894507022,0
2016,0.934,1120.93945241075,"MD",2018,"Maryland",1370.94004692377,0
2017,0.934,1111.12932470818,"MD",2018,"Maryland",1393.98060437701,0
2018,0.934,1173.65562428705,"MD",2018,"Maryland",1410.06343951985,1
2019,0.934,1230.35411177665,"MD",2018,"Maryland",1440.89439795482,1
2020,0.934,1182.9161726868,"MD",2018,"Maryland",1412.21942617193,1
2021,0.934,1268.16496930706,"MD",2018,"Maryland",1397.26931671746,1
2022,0.934,1335.30064301704,"MD",2018,"Maryland",1508.89945891025,1
