"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.925,598.319110868298,"MI",1991,"Michigan",661.270253515522,0
1977,0.925,608.431680766019,"MI",1991,"Michigan",729.500036801243,0
1978,0.925,624.714475227325,"MI",1991,"Michigan",754.786683179759,0
1979,0.925,619.147724560404,"MI",1991,"Michigan",747.131256866332,0
1980,0.925,576.468639660072,"MI",1991,"Michigan",660.442932270692,0
1981,0.925,572.081150817796,"MI",1991,"Michigan",625.122063504947,0
1982,0.925,577.897690034402,"MI",1991,"Michigan",610.118539974314,0
1983,0.925,583.404779061381,"MI",1991,"Michigan",667.851848861915,0
1984,0.925,634.247776744808,"MI",1991,"Michigan",774.140006449439,0
1985,0.925,658.051758985148,"MI",1991,"Michigan",793.571326267888,0
1986,0.925,682.42414336675,"MI",1991,"Michigan",786.141888617134,0
1987,0.925,708.696075882679,"MI",1991,"Michigan",795.036999145213,0
1988,0.925,741.982064401685,"MI",1991,"Michigan",794.071439738252,0
1989,0.925,746.82229881485,"MI",1991,"Michigan",807.205659905384,0
1990,0.925,756.342446921559,"MI",1991,"Michigan",782.971409442994,0
1991,0.925,754.865700670893,"MI",1991,"Michigan",743.203123061336,1
1992,0.925,793.991722071794,"MI",1991,"Michigan",718.726525481238,1
1993,0.925,818.877580149883,"MI",1991,"Michigan",800.485525091309,1
1994,0.925,833.584286603578,"MI",1991,"Michigan",857.284907151836,1
1995,0.925,826.690532754952,"MI",1991,"Michigan",1059.19553762342,1
1996,0.925,831.934953770008,"MI",1991,"Michigan",1080.39820797375,1
1997,0.925,856.728984075919,"MI",1991,"Michigan",1122.34712262495,1
1998,0.925,891.082808250736,"MI",1991,"Michigan",1134.64050915304,1
1999,0.925,927.819616453646,"MI",1991,"Michigan",1183.16064307518,1
2000,0.925,945.721695957056,"MI",1991,"Michigan",1188.80649147556,1
2001,0.925,953.955220333598,"MI",1991,"Michigan",1139.45390169373,1
2002,0.925,907.656539684121,"MI",1991,"Michigan",1098.81911370489,1
2003,0.925,913.608581322996,"MI",1991,"Michigan",1131.4897260879,1
2004,0.925,952.109953472214,"MI",1991,"Michigan",1169.81582338123,1
2005,0.925,1007.21168594653,"MI",1991,"Michigan",1101.2806698252,1
2006,0.925,1045.40845265961,"MI",1991,"Michigan",1078.86261373987,1
2007,0.925,1068.48512939911,"MI",1991,"Michigan",1063.92855926695,1
2008,0.925,1038.09178608415,"MI",1991,"Michigan",1074.12038900574,1
2009,0.925,976.432449648623,"MI",1991,"Michigan",1038.22472874696,1
2010,0.925,939.822447566218,"MI",1991,"Michigan",1001.77736345619,1
2011,0.925,961.119288974763,"MI",1991,"Michigan",1038.78348229478,1
2012,0.925,984.29064928693,"MI",1991,"Michigan",1017.15341248426,1
2013,0.925,1010.1973740096,"MI",1991,"Michigan",1046.96502246477,1
2014,0.925,1007.70756167145,"MI",1991,"Michigan",1030.06445146604,1
2015,0.925,1059.80823330084,"MI",1991,"Michigan",1094.50931544521,1
2016,0.925,1050.44552491573,"MI",1991,"Michigan",1111.00122640488,1
2017,0.925,1046.30320409286,"MI",1991,"Michigan",1145.38926146419,1
2018,0.925,1103.4264606726,"MI",1991,"Michigan",1159.3778748186,1
2019,0.925,1148.42073312638,"MI",1991,"Michigan",1141.05284597405,1
2020,0.925,1108.93297127725,"MI",1991,"Michigan",1041.5763931067,1
2021,0.925,1193.87114188883,"MI",1991,"Michigan",1210.83754200514,1
2022,0.925,1252.61625206445,"MI",1991,"Michigan",1200.92667239,1
