"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.912,621.316731528939,"MN",2007,"Minnesota",896.51552913456,0
1977,0.912,632.672935718283,"MN",2007,"Minnesota",921.373198661975,0
1978,0.912,644.74876862393,"MN",2007,"Minnesota",942.131704716908,0
1979,0.912,639.525775509724,"MN",2007,"Minnesota",944.396945968181,0
1980,0.912,594.161184525061,"MN",2007,"Minnesota",838.18144132404,0
1981,0.912,592.901067166948,"MN",2007,"Minnesota",813.9019542016,0
1982,0.912,599.149808577935,"MN",2007,"Minnesota",871.383837751076,0
1983,0.912,610.491409334396,"MN",2007,"Minnesota",985.605149842419,0
1984,0.912,662.438514000457,"MN",2007,"Minnesota",1104.58760897359,0
1985,0.912,689.248776114712,"MN",2007,"Minnesota",1076.05676368519,0
1986,0.912,720.575567753265,"MN",2007,"Minnesota",983.126528330214,0
1987,0.912,754.997303146589,"MN",2007,"Minnesota",1064.91396208917,0
1988,0.912,789.210942893112,"MN",2007,"Minnesota",1137.3665030831,0
1989,0.912,792.924293158682,"MN",2007,"Minnesota",1099.18059272069,0
1990,0.912,801.354786949862,"MN",2007,"Minnesota",1105.19747142852,0
1991,0.912,800.21589785016,"MN",2007,"Minnesota",1093.24277642703,0
1992,0.912,822.28608047481,"MN",2007,"Minnesota",1120.10106703262,0
1993,0.912,847.642887600176,"MN",2007,"Minnesota",1167.42046870739,0
1994,0.912,875.30287428101,"MN",2007,"Minnesota",1196.88951516204,0
1995,0.912,861.00905363671,"MN",2007,"Minnesota",1234.15051877897,0
1996,0.912,876.414032321704,"MN",2007,"Minnesota",1308.17116433423,0
1997,0.912,903.07690869541,"MN",2007,"Minnesota",1398.76587339959,0
1998,0.912,942.978266919148,"MN",2007,"Minnesota",1395.46603379815,0
1999,0.912,1011.09944415865,"MN",2007,"Minnesota",1470.90465072422,0
2000,0.912,1015.47090859615,"MN",2007,"Minnesota",1475.45245846487,0
2001,0.912,1029.45784148192,"MN",2007,"Minnesota",1450.79437776707,0
2002,0.912,967.566031106171,"MN",2007,"Minnesota",1405.47623858287,0
2003,0.912,972.136534621561,"MN",2007,"Minnesota",1439.43632517666,0
2004,0.912,1021.54771766363,"MN",2007,"Minnesota",1466.88096377721,0
2005,0.912,1107.56970414409,"MN",2007,"Minnesota",1494.93654430389,0
2006,0.912,1150.43041466411,"MN",2007,"Minnesota",1561.95538916963,0
2007,0.912,1182.50363863272,"MN",2007,"Minnesota",1536.07945517791,1
2008,0.912,1148.96967755358,"MN",2007,"Minnesota",1529.64783869467,1
2009,0.912,1080.34250631604,"MN",2007,"Minnesota",1445.90022552327,1
2010,0.912,1040.74369081427,"MN",2007,"Minnesota",1423.65988682948,1
2011,0.912,1070.70322369261,"MN",2007,"Minnesota",1492.45937425182,1
2012,0.912,1095.92833591257,"MN",2007,"Minnesota",1578.9615276532,1
2013,0.912,1125.69719590772,"MN",2007,"Minnesota",1635.38597076776,1
2014,0.912,1129.26008504201,"MN",2007,"Minnesota",1698.12953695475,1
2015,0.912,1183.75232220322,"MN",2007,"Minnesota",1769.74895201347,1
2016,0.912,1178.0106726104,"MN",2007,"Minnesota",1785.15823290756,1
2017,0.912,1175.05942242399,"MN",2007,"Minnesota",1784.97785697075,1
2018,0.912,1236.91720227421,"MN",2007,"Minnesota",1799.23855465889,1
2019,0.912,1285.79771698161,"MN",2007,"Minnesota",1835.34133697405,1
2020,0.912,1240.81059724582,"MN",2007,"Minnesota",1704.13455955924,1
2021,0.912,1347.79385951359,"MN",2007,"Minnesota",1895.5770564068,1
2022,0.912,1408.10696807026,"MN",2007,"Minnesota",1804.8016334573,1
