"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.918,539.219829179175,"MO",2020,"Missouri",493.976645122824,0
1977,0.918,550.82439872851,"MO",2020,"Missouri",506.372600307613,0
1978,0.918,576.036899633159,"MO",2020,"Missouri",524.624429200644,0
1979,0.918,568.358486224496,"MO",2020,"Missouri",528.000570027539,0
1980,0.918,532.424977570657,"MO",2020,"Missouri",483.131643792713,0
1981,0.918,539.108527682469,"MO",2020,"Missouri",449.368810212754,0
1982,0.918,551.488067122606,"MO",2020,"Missouri",460.378753693265,0
1983,0.918,544.719802957587,"MO",2020,"Missouri",512.128650401821,0
1984,0.918,589.120738700185,"MO",2020,"Missouri",558.555755802764,0
1985,0.918,612.32827383858,"MO",2020,"Missouri",593.261509733264,0
1986,0.918,620.809295941393,"MO",2020,"Missouri",623.743465032936,0
1987,0.918,627.269240569652,"MO",2020,"Missouri",645.313471344881,0
1988,0.918,667.809918104565,"MO",2020,"Missouri",695.523294599371,0
1989,0.918,672.33003939622,"MO",2020,"Missouri",703.001752286642,0
1990,0.918,679.729280342463,"MO",2020,"Missouri",704.11662766084,0
1991,0.918,674.942210604761,"MO",2020,"Missouri",679.246782701458,0
1992,0.918,706.01023434903,"MO",2020,"Missouri",672.677907985685,0
1993,0.918,742.058408165824,"MO",2020,"Missouri",698.569713773376,0
1994,0.918,751.777646488504,"MO",2020,"Missouri",722.853286164334,0
1995,0.918,756.309520069453,"MO",2020,"Missouri",786.53931308838,0
1996,0.918,756.830868745771,"MO",2020,"Missouri",805.584751196235,0
1997,0.918,785.387417153872,"MO",2020,"Missouri",853.257171419431,0
1998,0.918,815.46934308401,"MO",2020,"Missouri",887.309197211202,0
1999,0.918,824.74619253993,"MO",2020,"Missouri",909.642434852631,0
2000,0.918,839.821320127442,"MO",2020,"Missouri",860.22168127379,0
2001,0.918,845.033080147938,"MO",2020,"Missouri",860.914598848298,0
2002,0.918,806.521290348841,"MO",2020,"Missouri",825.591595612255,0
2003,0.918,807.515870603564,"MO",2020,"Missouri",801.658760956725,0
2004,0.918,842.00264037976,"MO",2020,"Missouri",819.278114977367,0
2005,0.918,865.446244791597,"MO",2020,"Missouri",824.655910803879,0
2006,0.918,905.188109458935,"MO",2020,"Missouri",835.130300426891,0
2007,0.918,915.248639875382,"MO",2020,"Missouri",844.975331566293,0
2008,0.918,882.049913051023,"MO",2020,"Missouri",826.017038641097,0
2009,0.918,828.266579789921,"MO",2020,"Missouri",781.621762443914,0
2010,0.918,771.595265326622,"MO",2020,"Missouri",726.59573168034,0
2011,0.918,792.860203849473,"MO",2020,"Missouri",724.179144453648,0
2012,0.918,814.78550445464,"MO",2020,"Missouri",758.935896982578,0
2013,0.918,823.634901445434,"MO",2020,"Missouri",764.488412849393,0
2014,0.918,823.982501796759,"MO",2020,"Missouri",758.702054290026,0
2015,0.918,865.592579112851,"MO",2020,"Missouri",804.135589826929,0
2016,0.918,838.991372950444,"MO",2020,"Missouri",818.644959034463,0
2017,0.918,836.952247191026,"MO",2020,"Missouri",813.467049163967,0
2018,0.918,886.079309466888,"MO",2020,"Missouri",825.035934751101,0
2019,0.918,933.092728169592,"MO",2020,"Missouri",816.150000862652,0
2020,0.918,909.315430062004,"MO",2020,"Missouri",756.218629616752,1
2021,0.918,975.266220680558,"MO",2020,"Missouri",861.521541063413,1
2022,0.918,1010.65318593367,"MO",2020,"Missouri",892.554847587154,1
