"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.92,600.442286337272,"NE",1988,"Nebraska",522.290680792556,0
1977,0.92,610.452888446834,"NE",1988,"Nebraska",605.198228080936,0
1978,0.92,627.027568291442,"NE",1988,"Nebraska",620.934173125953,0
1979,0.92,621.530503322735,"NE",1988,"Nebraska",608.647530533449,0
1980,0.92,579.441863560777,"NE",1988,"Nebraska",585.986773606353,0
1981,0.92,575.320188769123,"NE",1988,"Nebraska",522.578302878957,0
1982,0.92,579.680187103369,"NE",1988,"Nebraska",531.983480013367,0
1983,0.92,585.353575557923,"NE",1988,"Nebraska",592.804299969289,0
1984,0.92,635.477207334727,"NE",1988,"Nebraska",606.952305681846,0
1985,0.92,658.89262496655,"NE",1988,"Nebraska",581.259687299795,0
1986,0.92,683.176417313718,"NE",1988,"Nebraska",617.120921759747,0
1987,0.92,709.849788459594,"NE",1988,"Nebraska",638.302239094313,0
1988,0.92,745.917323030812,"NE",1988,"Nebraska",682.649752723516,1
1989,0.92,750.89688108889,"NE",1988,"Nebraska",701.222864425938,1
1990,0.92,759.824398655737,"NE",1988,"Nebraska",697.497737587978,1
1991,0.92,758.997660991501,"NE",1988,"Nebraska",777.882655767688,1
1992,0.92,797.761421367156,"NE",1988,"Nebraska",794.537573354289,1
1993,0.92,822.132899401622,"NE",1988,"Nebraska",806.391243842996,1
1994,0.92,837.833465627083,"NE",1988,"Nebraska",844.930881310282,1
1995,0.92,829.920833306535,"NE",1988,"Nebraska",841.026349125446,1
1996,0.92,835.739526420132,"NE",1988,"Nebraska",867.508780791531,1
1997,0.92,859.809069230434,"NE",1988,"Nebraska",907.029232756716,1
1998,0.92,893.721452113531,"NE",1988,"Nebraska",920.211413543371,1
1999,0.92,928.409562460978,"NE",1988,"Nebraska",910.457770971258,1
2000,0.92,945.313490548829,"NE",1988,"Nebraska",962.668367724994,1
2001,0.92,953.808780176697,"NE",1988,"Nebraska",951.914066986616,1
2002,0.92,906.924731695545,"NE",1988,"Nebraska",927.858129999384,1
2003,0.92,912.924895995602,"NE",1988,"Nebraska",1011.56570407771,1
2004,0.92,951.294095580104,"NE",1988,"Nebraska",1050.78499817069,1
2005,0.92,1006.55252922118,"NE",1988,"Nebraska",1045.91802564167,1
2006,0.92,1045.46316972064,"NE",1988,"Nebraska",1034.99068035299,1
2007,0.92,1068.7698929267,"NE",1988,"Nebraska",1057.21744859689,1
2008,0.92,1037.78379078436,"NE",1988,"Nebraska",1033.17055182018,1
2009,0.92,975.187092910732,"NE",1988,"Nebraska",977.788251988997,1
2010,0.92,937.886393647898,"NE",1988,"Nebraska",930.075035251214,1
2011,0.92,958.285333687534,"NE",1988,"Nebraska",963.77880955537,1
2012,0.92,983.00683980073,"NE",1988,"Nebraska",970.948453874687,1
2013,0.92,1009.67929471073,"NE",1988,"Nebraska",1022.27955229782,1
2014,0.92,1006.84028080779,"NE",1988,"Nebraska",1029.35194759056,1
2015,0.92,1059.38102273954,"NE",1988,"Nebraska",1057.48253649105,1
2016,0.92,1050.60686536001,"NE",1988,"Nebraska",1051.08917138378,1
2017,0.92,1046.65921217322,"NE",1988,"Nebraska",1029.73422493863,1
2018,0.92,1104.14851266509,"NE",1988,"Nebraska",1050.52797536499,1
2019,0.92,1150.00981578731,"NE",1988,"Nebraska",1079.00474993461,1
2020,0.92,1109.97570989527,"NE",1988,"Nebraska",1075.74963685597,1
2021,0.92,1193.10914679851,"NE",1988,"Nebraska",1200.5118565471,1
2022,0.92,1254.34571011096,"NE",1988,"Nebraska",1173.83125366418,1
