"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.901,619.679701365269,"NJ",2012,"New Jersey",494.089178363814,0
1977,0.901,634.924555658653,"NJ",2012,"New Jersey",623.200140609443,0
1978,0.901,640.650339507855,"NJ",2012,"New Jersey",634.635515835215,0
1979,0.901,639.837310616283,"NJ",2012,"New Jersey",616.930233323743,0
1980,0.901,599.406328308226,"NJ",2012,"New Jersey",620.033814800343,0
1981,0.901,594.554280844229,"NJ",2012,"New Jersey",661.544132325265,0
1982,0.901,605.626523506255,"NJ",2012,"New Jersey",669.550214402293,0
1983,0.901,617.893868234581,"NJ",2012,"New Jersey",734.56349493136,0
1984,0.901,661.129530049899,"NJ",2012,"New Jersey",807.745949957785,0
1985,0.901,692.782137970801,"NJ",2012,"New Jersey",834.791132586165,0
1986,0.901,724.649446299157,"NJ",2012,"New Jersey",886.450660923195,0
1987,0.901,752.172038768118,"NJ",2012,"New Jersey",964.326573897633,0
1988,0.901,793.275771725692,"NJ",2012,"New Jersey",940.464993590134,0
1989,0.901,798.313808115266,"NJ",2012,"New Jersey",959.435370795771,0
1990,0.901,806.383342818391,"NJ",2012,"New Jersey",918.352528312684,0
1991,0.901,810.810567006318,"NJ",2012,"New Jersey",1001.11841416461,0
1992,0.901,832.267284592281,"NJ",2012,"New Jersey",1088.73116286137,0
1993,0.901,852.943200591802,"NJ",2012,"New Jersey",1061.17498899251,0
1994,0.901,877.731303447514,"NJ",2012,"New Jersey",1057.37492193184,0
1995,0.901,860.020337186502,"NJ",2012,"New Jersey",1036.12566411508,0
1996,0.901,873.360251677601,"NJ",2012,"New Jersey",1052.71915883917,0
1997,0.901,896.605798849038,"NJ",2012,"New Jersey",1017.31601123791,0
1998,0.901,932.268146280211,"NJ",2012,"New Jersey",1093.30171329484,0
1999,0.901,1001.38243553501,"NJ",2012,"New Jersey",1149.29969014896,0
2000,0.901,1005.09225511625,"NJ",2012,"New Jersey",1157.24015988389,0
2001,0.901,1021.05311822292,"NJ",2012,"New Jersey",1193.60976834438,0
2002,0.901,964.290655614781,"NJ",2012,"New Jersey",1119.67299747277,0
2003,0.901,969.804881594947,"NJ",2012,"New Jersey",1108.21310445012,0
2004,0.901,1018.01247928713,"NJ",2012,"New Jersey",1170.34969082016,0
2005,0.901,1105.71490275391,"NJ",2012,"New Jersey",1303.3448062077,0
2006,0.901,1149.83005154988,"NJ",2012,"New Jersey",1360.54484108352,0
2007,0.901,1176.91898192267,"NJ",2012,"New Jersey",1478.40117667471,0
2008,0.901,1148.82284421741,"NJ",2012,"New Jersey",1482.07150705266,0
2009,0.901,1081.17449828461,"NJ",2012,"New Jersey",1319.69092115605,0
2010,0.901,1042.31573671138,"NJ",2012,"New Jersey",1244.56701829975,0
2011,0.901,1066.32189421995,"NJ",2012,"New Jersey",1257.187940066,0
2012,0.901,1095.8331602933,"NJ",2012,"New Jersey",1256.92445497101,1
2013,0.901,1128.24974460245,"NJ",2012,"New Jersey",1298.5189040787,1
2014,0.901,1127.64006079597,"NJ",2012,"New Jersey",1301.02467701387,1
2015,0.901,1184.94398352924,"NJ",2012,"New Jersey",1378.80801813616,1
2016,0.901,1182.41461970599,"NJ",2012,"New Jersey",1376.57540341914,1
2017,0.901,1175.48488542743,"NJ",2012,"New Jersey",1422.45867279738,1
2018,0.901,1243.87930460707,"NJ",2012,"New Jersey",1483.77617216296,1
2019,0.901,1283.09703123788,"NJ",2012,"New Jersey",1519.5175923923,1
2020,0.901,1232.34974178516,"NJ",2012,"New Jersey",1431.88321106301,1
2021,0.901,1333.62898170904,"NJ",2012,"New Jersey",1501.92078519263,1
2022,0.901,1406.42917609017,"NJ",2012,"New Jersey",1627.60618692972,1
