"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.926,617.000483034327,"NY",2015,"New York",847.097456159976,0
1977,0.926,630.971552667183,"NY",2015,"New York",875.288647713101,0
1978,0.926,636.325064517517,"NY",2015,"New York",831.868401719164,0
1979,0.926,635.258550874176,"NY",2015,"New York",815.490831847174,0
1980,0.926,593.598127578901,"NY",2015,"New York",793.190176115014,0
1981,0.926,586.765819699279,"NY",2015,"New York",776.080062278361,0
1982,0.926,599.713043480433,"NY",2015,"New York",830.438983518556,0
1983,0.926,610.256814865451,"NY",2015,"New York",842.351068959399,0
1984,0.926,655.748428411961,"NY",2015,"New York",937.918254515515,0
1985,0.926,685.871464785557,"NY",2015,"New York",984.237797295249,0
1986,0.926,717.280249632894,"NY",2015,"New York",1066.51749082279,0
1987,0.926,743.001831508808,"NY",2015,"New York",1109.83070239114,0
1988,0.926,778.61609659571,"NY",2015,"New York",1130.72343246253,0
1989,0.926,783.117913792682,"NY",2015,"New York",1101.71293108962,0
1990,0.926,792.158354244845,"NY",2015,"New York",1135.97403425703,0
1991,0.926,796.272913774029,"NY",2015,"New York",1069.76701771372,0
1992,0.926,829.763570550667,"NY",2015,"New York",1087.7150905061,0
1993,0.926,849.062745333651,"NY",2015,"New York",1093.08866124967,0
1994,0.926,865.69732276705,"NY",2015,"New York",1121.03863460464,0
1995,0.926,850.6974482148,"NY",2015,"New York",1138.01994643118,0
1996,0.926,858.825185307741,"NY",2015,"New York",1103.71688652455,0
1997,0.926,882.146149391811,"NY",2015,"New York",1092.81374604778,0
1998,0.926,917.358058427082,"NY",2015,"New York",1115.79786590836,0
1999,0.926,985.070368400031,"NY",2015,"New York",1181.33261785089,0
2000,0.926,1001.32846220442,"NY",2015,"New York",1190.80124101926,0
2001,0.926,1015.05348553958,"NY",2015,"New York",1232.6660339393,0
2002,0.926,965.410466316236,"NY",2015,"New York",1190.98197676486,0
2003,0.926,971.059123669705,"NY",2015,"New York",1138.32039724365,0
2004,0.926,1015.59836432877,"NY",2015,"New York",1208.94149162232,0
2005,0.926,1096.49356007236,"NY",2015,"New York",1299.08846168846,0
2006,0.926,1137.24120375328,"NY",2015,"New York",1386.07969819647,0
2007,0.926,1162.83736401189,"NY",2015,"New York",1455.66926751571,0
2008,0.926,1137.12345343694,"NY",2015,"New York",1455.50564974651,0
2009,0.926,1075.08679047525,"NY",2015,"New York",1456.48436851522,0
2010,0.926,1041.43996248934,"NY",2015,"New York",1416.27282927668,0
2011,0.926,1062.98048331829,"NY",2015,"New York",1457.48421133393,0
2012,0.926,1089.44207202393,"NY",2015,"New York",1490.33222191783,0
2013,0.926,1121.6111667984,"NY",2015,"New York",1503.60115756213,0
2014,0.926,1118.93435413748,"NY",2015,"New York",1550.01801245986,0
2015,0.926,1176.55852849075,"NY",2015,"New York",1569.34308940761,1
2016,0.926,1173.7117005514,"NY",2015,"New York",1638.03034651529,1
2017,0.926,1164.81498640776,"NY",2015,"New York",1575.14338996347,1
2018,0.926,1231.09457400914,"NY",2015,"New York",1707.33364033361,1
2019,0.926,1268.26708905097,"NY",2015,"New York",1629.30547806159,1
2020,0.926,1216.44468504284,"NY",2015,"New York",1689.24001049272,1
2021,0.926,1316.29576511972,"NY",2015,"New York",1645.90894424529,1
2022,0.926,1383.12707520133,"NY",2015,"New York",1914.08825032661,1
