"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.909,579.296460553134,"NC",2016,"North Carolina",596.468457707884,0
1977,0.909,590.068221148334,"NC",2016,"North Carolina",632.855325151152,0
1978,0.909,614.45631482749,"NC",2016,"North Carolina",633.350048906622,0
1979,0.909,606.445803082979,"NC",2016,"North Carolina",629.196918056829,0
1980,0.909,573.139910104892,"NC",2016,"North Carolina",601.468965492043,0
1981,0.909,577.763891073949,"NC",2016,"North Carolina",581.957376368102,0
1982,0.909,580.550212455219,"NC",2016,"North Carolina",604.73716810272,0
1983,0.909,582.872450317904,"NC",2016,"North Carolina",614.917907988506,0
1984,0.909,624.698411431438,"NC",2016,"North Carolina",666.41254625482,0
1985,0.909,649.995476549224,"NC",2016,"North Carolina",699.591313896901,0
1986,0.909,671.075028339457,"NC",2016,"North Carolina",731.4212232877,0
1987,0.909,689.042890167876,"NC",2016,"North Carolina",784.653656435859,0
1988,0.909,743.790249231801,"NC",2016,"North Carolina",810.015053901672,0
1989,0.909,748.110857708172,"NC",2016,"North Carolina",808.253442555909,0
1990,0.909,750.102779476539,"NC",2016,"North Carolina",833.537990757294,0
1991,0.909,752.408114090505,"NC",2016,"North Carolina",799.708094036102,0
1992,0.909,782.686127913023,"NC",2016,"North Carolina",872.80149523548,0
1993,0.909,811.165146627305,"NC",2016,"North Carolina",900.803933229139,0
1994,0.909,828.155101215541,"NC",2016,"North Carolina",934.730603440209,0
1995,0.909,823.824818982715,"NC",2016,"North Carolina",960.655217513863,0
1996,0.909,832.056973476682,"NC",2016,"North Carolina",954.4140610791,0
1997,0.909,856.735524081524,"NC",2016,"North Carolina",981.028498877049,0
1998,0.909,890.139698635025,"NC",2016,"North Carolina",1046.33994135486,0
1999,0.909,892.547817884912,"NC",2016,"North Carolina",1060.37059297642,0
2000,0.909,908.954628976037,"NC",2016,"North Carolina",1014.49244582553,0
2001,0.909,920.581774670672,"NC",2016,"North Carolina",1023.12242249939,0
2002,0.909,865.54705684492,"NC",2016,"North Carolina",992.683436688008,0
2003,0.909,869.650163757116,"NC",2016,"North Carolina",964.695963513843,0
2004,0.909,905.26314819671,"NC",2016,"North Carolina",990.2496711776,0
2005,0.909,938.37048456286,"NC",2016,"North Carolina",1021.52572935683,0
2006,0.909,980.727238446006,"NC",2016,"North Carolina",1073.29631331933,0
2007,0.909,998.283496101002,"NC",2016,"North Carolina",1113.28615621955,0
2008,0.909,968.916289746846,"NC",2016,"North Carolina",1077.81970370427,0
2009,0.909,899.356196402719,"NC",2016,"North Carolina",968.006544906504,0
2010,0.909,848.215144698602,"NC",2016,"North Carolina",968.514966412824,0
2011,0.909,866.486902984063,"NC",2016,"North Carolina",980.753264949562,0
2012,0.909,896.948227170609,"NC",2016,"North Carolina",960.022205635996,0
2013,0.909,919.14055920389,"NC",2016,"North Carolina",980.074015306991,0
2014,0.909,915.581496826446,"NC",2016,"North Carolina",941.631087692119,0
2015,0.909,968.705320500176,"NC",2016,"North Carolina",998.49049523302,0
2016,0.909,955.788062325394,"NC",2016,"North Carolina",1031.29053029866,1
2017,0.909,952.538640107937,"NC",2016,"North Carolina",1036.67374399794,1
2018,0.909,1011.770782859,"NC",2016,"North Carolina",1039.04388081857,1
2019,0.909,1061.8037859056,"NC",2016,"North Carolina",1061.10398673367,1
2020,0.909,1029.32186267809,"NC",2016,"North Carolina",1021.77191745627,1
2021,0.909,1096.88658953323,"NC",2016,"North Carolina",1159.51381681856,1
2022,0.909,1162.49586163411,"NC",2016,"North Carolina",1176.35134786581,1
