"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.919,805.670099995284,"ND",2016,"North Dakota",728.800681169723,0
1977,0.919,849.856082281894,"ND",2016,"North Dakota",697.201316129575,0
1978,0.919,764.111932020429,"ND",2016,"North Dakota",679.781439439435,0
1979,0.919,760.750578298252,"ND",2016,"North Dakota",624.300510012504,0
1980,0.919,745.233390732213,"ND",2016,"North Dakota",622.231686288986,0
1981,0.919,811.685674668593,"ND",2016,"North Dakota",683.420856471436,0
1982,0.919,863.267552326062,"ND",2016,"North Dakota",766.618979754537,0
1983,0.919,845.425235343656,"ND",2016,"North Dakota",735.053091566132,0
1984,0.919,869.399849965457,"ND",2016,"North Dakota",906.15846002369,0
1985,0.919,889.423183686617,"ND",2016,"North Dakota",834.352785457303,0
1986,0.919,934.235180221551,"ND",2016,"North Dakota",762.8445444478,0
1987,0.919,902.074164298526,"ND",2016,"North Dakota",718.901063078454,0
1988,0.919,921.323039991218,"ND",2016,"North Dakota",803.20892680777,0
1989,0.919,903.036543427607,"ND",2016,"North Dakota",778.198712663912,0
1990,0.919,943.927525022349,"ND",2016,"North Dakota",756.691124245876,0
1991,0.919,955.321235790038,"ND",2016,"North Dakota",815.188802949395,0
1992,0.919,971.826099530702,"ND",2016,"North Dakota",734.037021194522,0
1993,0.919,960.757126108404,"ND",2016,"North Dakota",849.551997084522,0
1994,0.919,954.880524692117,"ND",2016,"North Dakota",857.746648286519,0
1995,0.919,923.937076728755,"ND",2016,"North Dakota",909.100530742186,0
1996,0.919,925.465540713626,"ND",2016,"North Dakota",903.220380579752,0
1997,0.919,955.137728749652,"ND",2016,"North Dakota",961.184917062567,0
1998,0.919,968.476526725102,"ND",2016,"North Dakota",957.873315799866,0
1999,0.919,1182.97828703738,"ND",2016,"North Dakota",959.47327809555,0
2000,0.919,1210.70877724487,"ND",2016,"North Dakota",989.678019484299,0
2001,0.919,1231.65646510192,"ND",2016,"North Dakota",972.772239641223,0
2002,0.919,1161.27587221533,"ND",2016,"North Dakota",929.659656882334,0
2003,0.919,1165.88149279073,"ND",2016,"North Dakota",954.326853216656,0
2004,0.919,1247.92766589323,"ND",2016,"North Dakota",968.169465223257,0
2005,0.919,1467.21191392282,"ND",2016,"North Dakota",1052.02454289584,0
2006,0.919,1526.52455260817,"ND",2016,"North Dakota",1147.08152812613,0
2007,0.919,1622.16398339651,"ND",2016,"North Dakota",1216.45788657627,0
2008,0.919,1760.18907703781,"ND",2016,"North Dakota",1518.70530012307,0
2009,0.919,1580.99395825928,"ND",2016,"North Dakota",1601.67402140013,0
2010,0.919,1543.15966766653,"ND",2016,"North Dakota",1738.11140185342,0
2011,0.919,1610.90290243204,"ND",2016,"North Dakota",1815.54615385138,0
2012,0.919,1680.83036038972,"ND",2016,"North Dakota",2437.88225284486,0
2013,0.919,1648.91519423122,"ND",2016,"North Dakota",3011.3807751706,0
2014,0.919,1616.831853983,"ND",2016,"North Dakota",3356.48190690291,0
2015,0.919,1603.75159528144,"ND",2016,"North Dakota",3099.43459089244,0
2016,0.919,1601.54845033332,"ND",2016,"North Dakota",1987.09609651981,1
2017,0.919,1599.11130856541,"ND",2016,"North Dakota",1835.32741134147,1
2018,0.919,1672.46440672903,"ND",2016,"North Dakota",2147.1098210442,1
2019,0.919,1717.00706484829,"ND",2016,"North Dakota",2470.26209765223,1
2020,0.919,1616.44838863206,"ND",2016,"North Dakota",2108.81888106715,1
2021,0.919,1767.97997389334,"ND",2016,"North Dakota",1780.37942773735,1
2022,0.919,1838.60889935973,"ND",2016,"North Dakota",2246.77649691119,1
