"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.923,597.052115896297,"OR",2004,"Oregon",560.989185322272,0
1977,0.923,607.341259298981,"OR",2004,"Oregon",594.894863890733,0
1978,0.923,630.260201442644,"OR",2004,"Oregon",629.38420864609,0
1979,0.923,625.511293133947,"OR",2004,"Oregon",648.49706331276,0
1980,0.923,589.618119478044,"OR",2004,"Oregon",587.184504101289,0
1981,0.923,590.95146136435,"OR",2004,"Oregon",599.093935860031,0
1982,0.923,598.508782243282,"OR",2004,"Oregon",555.340792853621,0
1983,0.923,597.653030054015,"OR",2004,"Oregon",627.662833753393,0
1984,0.923,642.474240037225,"OR",2004,"Oregon",615.9197576983,0
1985,0.923,667.862073077844,"OR",2004,"Oregon",636.049385295967,0
1986,0.923,686.246572816695,"OR",2004,"Oregon",601.676212621463,0
1987,0.923,701.562508148384,"OR",2004,"Oregon",683.987670545189,0
1988,0.923,745.043357130527,"OR",2004,"Oregon",599.427494068972,0
1989,0.923,751.23020918984,"OR",2004,"Oregon",701.799519292041,0
1990,0.923,761.214638786238,"OR",2004,"Oregon",706.108300596712,0
1991,0.923,763.31156450625,"OR",2004,"Oregon",724.657952921144,0
1992,0.923,792.503084024673,"OR",2004,"Oregon",759.779422146829,0
1993,0.923,821.065956450966,"OR",2004,"Oregon",787.535129148042,0
1994,0.923,837.812327205199,"OR",2004,"Oregon",825.270993345713,0
1995,0.923,835.88281330257,"OR",2004,"Oregon",830.081618086737,0
1996,0.923,841.92363773782,"OR",2004,"Oregon",807.999614125535,0
1997,0.923,867.293389779948,"OR",2004,"Oregon",876.438147144735,0
1998,0.923,899.951655070273,"OR",2004,"Oregon",882.264462599666,0
1999,0.923,906.474804727467,"OR",2004,"Oregon",908.104619359162,0
2000,0.923,921.17578915002,"OR",2004,"Oregon",937.797351885167,0
2001,0.923,932.259318986542,"OR",2004,"Oregon",906.963397969986,0
2002,0.923,882.927529908382,"OR",2004,"Oregon",785.904958515771,0
2003,0.923,886.507147702872,"OR",2004,"Oregon",838.983580367941,0
2004,0.923,920.150702408031,"OR",2004,"Oregon",857.667197767666,1
2005,0.923,954.166729732419,"OR",2004,"Oregon",872.563613080554,1
2006,0.923,994.534716385104,"OR",2004,"Oregon",966.428062468375,1
2007,0.923,1011.90689482085,"OR",2004,"Oregon",950.619040399669,1
2008,0.923,986.953676827295,"OR",2004,"Oregon",864.008310641498,1
2009,0.923,924.013258206223,"OR",2004,"Oregon",840.951161903586,1
2010,0.923,877.096759455392,"OR",2004,"Oregon",851.030162727131,1
2011,0.923,897.430490071941,"OR",2004,"Oregon",866.564263719128,1
2012,0.923,928.090476896518,"OR",2004,"Oregon",926.356743925758,1
2013,0.923,949.019704807857,"OR",2004,"Oregon",951.82995506073,1
2014,0.923,944.758814153372,"OR",2004,"Oregon",978.602013192992,1
2015,0.923,998.051988882403,"OR",2004,"Oregon",1045.22216739405,1
2016,0.923,979.067236722439,"OR",2004,"Oregon",1043.77219842711,1
2017,0.923,972.972772699496,"OR",2004,"Oregon",1102.38074031552,1
2018,0.923,1031.5517763257,"OR",2004,"Oregon",1127.34072076991,1
2019,0.923,1082.30321622524,"OR",2004,"Oregon",1231.48841405529,1
2020,0.923,1046.08876358469,"OR",2004,"Oregon",1122.93486193345,1
2021,0.923,1113.94953326811,"OR",2004,"Oregon",1435.69513364275,1
2022,0.923,1181.6794661584,"OR",2004,"Oregon",1402.19747576394,1
