"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.926,596.945663942622,"PA",2007,"Pennsylvania",666.23812565934,0
1977,0.926,606.982703180893,"PA",2007,"Pennsylvania",683.293231709675,0
1978,0.926,624.299617715548,"PA",2007,"Pennsylvania",707.331049842246,0
1979,0.926,618.510897964257,"PA",2007,"Pennsylvania",686.866964329542,0
1980,0.926,576.114433196379,"PA",2007,"Pennsylvania",652.296833203249,0
1981,0.926,572.099001272429,"PA",2007,"Pennsylvania",628.515918475899,0
1982,0.926,577.696539844138,"PA",2007,"Pennsylvania",640.030517334256,0
1983,0.926,582.438488653028,"PA",2007,"Pennsylvania",644.607560336721,0
1984,0.926,633.215826028576,"PA",2007,"Pennsylvania",711.542426140252,0
1985,0.926,656.637078298366,"PA",2007,"Pennsylvania",727.922561856968,0
1986,0.926,680.09875701661,"PA",2007,"Pennsylvania",752.678343970383,0
1987,0.926,705.64364105001,"PA",2007,"Pennsylvania",772.366322744248,0
1988,0.926,739.704615086774,"PA",2007,"Pennsylvania",769.157031892853,0
1989,0.926,744.472294316692,"PA",2007,"Pennsylvania",783.164686070859,0
1990,0.926,754.239709491643,"PA",2007,"Pennsylvania",779.857504673789,0
1991,0.926,752.242310046016,"PA",2007,"Pennsylvania",738.28518999827,0
1992,0.926,791.627095146668,"PA",2007,"Pennsylvania",871.327051117069,0
1993,0.926,817.410668593283,"PA",2007,"Pennsylvania",874.569531385049,0
1994,0.926,832.256180961024,"PA",2007,"Pennsylvania",877.214862820852,0
1995,0.926,826.302977670508,"PA",2007,"Pennsylvania",897.654190785925,0
1996,0.926,831.442049731786,"PA",2007,"Pennsylvania",888.994434627178,0
1997,0.926,856.420325290258,"PA",2007,"Pennsylvania",923.063896630353,0
1998,0.926,890.532609940795,"PA",2007,"Pennsylvania",974.587280344849,0
1999,0.926,922.975636074484,"PA",2007,"Pennsylvania",1003.45316975977,0
2000,0.926,940.592242222546,"PA",2007,"Pennsylvania",981.88064868304,0
2001,0.926,948.714490018679,"PA",2007,"Pennsylvania",972.497507810062,0
2002,0.926,902.297925470451,"PA",2007,"Pennsylvania",943.812997168881,0
2003,0.926,908.323124304388,"PA",2007,"Pennsylvania",966.121913096068,0
2004,0.926,945.993094906797,"PA",2007,"Pennsylvania",1009.59859856502,0
2005,0.926,997.921741562627,"PA",2007,"Pennsylvania",1051.19688296967,0
2006,0.926,1036.11773364754,"PA",2007,"Pennsylvania",1067.87115394782,0
2007,0.926,1059.0575371924,"PA",2007,"Pennsylvania",1095.99927805197,1
2008,0.926,1029.19448144665,"PA",2007,"Pennsylvania",1102.29166200162,1
2009,0.926,967.433029435903,"PA",2007,"Pennsylvania",1042.52238165956,1
2010,0.926,929.633445939282,"PA",2007,"Pennsylvania",1028.94086915033,1
2011,0.926,950.896635897219,"PA",2007,"Pennsylvania",1059.32857688847,1
2012,0.926,974.302897181224,"PA",2007,"Pennsylvania",1061.24071868605,1
2013,0.926,999.668579544797,"PA",2007,"Pennsylvania",1066.73091654491,1
2014,0.926,996.955492896445,"PA",2007,"Pennsylvania",1053.06671556259,1
2015,0.926,1048.88408018607,"PA",2007,"Pennsylvania",1108.40122964275,1
2016,0.926,1038.33089511306,"PA",2007,"Pennsylvania",1138.30871539497,1
2017,0.926,1034.4546864807,"PA",2007,"Pennsylvania",1149.55810855916,1
2018,0.926,1091.027073606,"PA",2007,"Pennsylvania",1188.36262248951,1
2019,0.926,1136.6065590846,"PA",2007,"Pennsylvania",1227.64567045203,1
2020,0.926,1098.41095210033,"PA",2007,"Pennsylvania",1135.25769624684,1
2021,0.926,1181.96710719648,"PA",2007,"Pennsylvania",1292.82948457933,1
2022,0.926,1240.64662160762,"PA",2007,"Pennsylvania",1282.092239233,1
