"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.937,612.85441604838,"RI",2015,"Rhode Island",655.661979998423,0
1977,0.937,622.930883596716,"RI",2015,"Rhode Island",691.163219854814,0
1978,0.937,642.155966386581,"RI",2015,"Rhode Island",668.160923612034,0
1979,0.937,635.033567603321,"RI",2015,"Rhode Island",698.463525755365,0
1980,0.937,595.494177419275,"RI",2015,"Rhode Island",635.93505475887,0
1981,0.937,599.02523887707,"RI",2015,"Rhode Island",643.677938647568,0
1982,0.937,606.106721824112,"RI",2015,"Rhode Island",675.809662533387,0
1983,0.937,610.992968630237,"RI",2015,"Rhode Island",718.041418126022,0
1984,0.937,657.723593963399,"RI",2015,"Rhode Island",751.156785472009,0
1985,0.937,686.193626233434,"RI",2015,"Rhode Island",759.00187491683,0
1986,0.937,713.531610914176,"RI",2015,"Rhode Island",763.561578299028,0
1987,0.937,736.015528309861,"RI",2015,"Rhode Island",853.272024416538,0
1988,0.937,773.616292519405,"RI",2015,"Rhode Island",886.100879430767,0
1989,0.937,780.442958956863,"RI",2015,"Rhode Island",871.588070731989,0
1990,0.937,784.638376608681,"RI",2015,"Rhode Island",886.831215024884,0
1991,0.937,791.319409451211,"RI",2015,"Rhode Island",885.370455582666,0
1992,0.937,813.978980074965,"RI",2015,"Rhode Island",896.57216278329,0
1993,0.937,839.931945671813,"RI",2015,"Rhode Island",945.373915766222,0
1994,0.937,856.648740107308,"RI",2015,"Rhode Island",921.594405916488,0
1995,0.937,848.215311511554,"RI",2015,"Rhode Island",934.087972511119,0
1996,0.937,858.16851826307,"RI",2015,"Rhode Island",946.454889042228,0
1997,0.937,883.636940272153,"RI",2015,"Rhode Island",1005.15161341902,0
1998,0.937,921.013979373484,"RI",2015,"Rhode Island",1087.97342677712,0
1999,0.937,962.100094977284,"RI",2015,"Rhode Island",1107.93788407625,0
2000,0.937,981.596491821693,"RI",2015,"Rhode Island",1083.78067560054,0
2001,0.937,993.569793711561,"RI",2015,"Rhode Island",1158.32109728203,0
2002,0.937,939.905181823422,"RI",2015,"Rhode Island",1094.70127079039,0
2003,0.937,942.094606040449,"RI",2015,"Rhode Island",1110.72394939366,0
2004,0.937,983.724688159568,"RI",2015,"Rhode Island",1152.47320532016,0
2005,0.937,1039.65519367347,"RI",2015,"Rhode Island",1206.06675299451,0
2006,0.937,1080.0495934206,"RI",2015,"Rhode Island",1200.01267113687,0
2007,0.937,1099.65847194996,"RI",2015,"Rhode Island",1180.00614917842,0
2008,0.937,1066.74279976291,"RI",2015,"Rhode Island",1151.46114596565,0
2009,0.937,1001.85689075573,"RI",2015,"Rhode Island",1096.09833003152,0
2010,0.937,962.116970236312,"RI",2015,"Rhode Island",1064.74090738446,0
2011,0.937,985.250766597643,"RI",2015,"Rhode Island",1089.50392521305,0
2012,0.937,1012.87921478592,"RI",2015,"Rhode Island",1127.93504182192,0
2013,0.937,1035.84806073368,"RI",2015,"Rhode Island",1137.09718021604,0
2014,0.937,1036.08756304331,"RI",2015,"Rhode Island",1134.24473101507,0
2015,0.937,1090.39478976826,"RI",2015,"Rhode Island",1193.33317679044,1
2016,0.937,1081.14888640163,"RI",2015,"Rhode Island",1221.54299844326,1
2017,0.937,1073.64655468833,"RI",2015,"Rhode Island",1211.25203455278,1
2018,0.937,1135.2011499827,"RI",2015,"Rhode Island",1218.1911453309,1
2019,0.937,1187.07521656019,"RI",2015,"Rhode Island",1270.16196346153,1
2020,0.937,1143.30675032027,"RI",2015,"Rhode Island",1176.26112792586,1
2021,0.937,1222.9153143659,"RI",2015,"Rhode Island",1374.59986595992,1
2022,0.937,1281.90902390895,"RI",2015,"Rhode Island",1407.36395595418,1
