"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.902,609.288056896814,"SC",2007,"South Carolina",574.798214379672,0
1977,0.902,621.023104411226,"SC",2007,"South Carolina",596.25627894755,0
1978,0.902,645.597549864789,"SC",2007,"South Carolina",625.485494333921,0
1979,0.902,640.981389638891,"SC",2007,"South Carolina",616.341493992048,0
1980,0.902,606.563429587828,"SC",2007,"South Carolina",590.272765832832,0
1981,0.902,610.037510080551,"SC",2007,"South Carolina",578.994505668061,0
1982,0.902,615.033885744935,"SC",2007,"South Carolina",590.453573983362,0
1983,0.902,615.931230820722,"SC",2007,"South Carolina",616.075775471342,0
1984,0.902,658.372935249087,"SC",2007,"South Carolina",654.687772566317,0
1985,0.902,687.820673239887,"SC",2007,"South Carolina",712.547779422439,0
1986,0.902,708.800476845177,"SC",2007,"South Carolina",745.326241227888,0
1987,0.902,726.081561296381,"SC",2007,"South Carolina",772.57295209652,0
1988,0.902,773.616335473764,"SC",2007,"South Carolina",801.243486610261,0
1989,0.902,780.947420012368,"SC",2007,"South Carolina",816.113331440526,0
1990,0.902,789.426003255872,"SC",2007,"South Carolina",827.296770173437,0
1991,0.902,793.308626369577,"SC",2007,"South Carolina",780.070637568355,0
1992,0.902,804.935533387727,"SC",2007,"South Carolina",750.969771184912,0
1993,0.902,836.067933954734,"SC",2007,"South Carolina",783.08160389683,0
1994,0.902,861.568629468081,"SC",2007,"South Carolina",788.178335587375,0
1995,0.902,857.080791843418,"SC",2007,"South Carolina",800.339172140031,0
1996,0.902,869.317945237225,"SC",2007,"South Carolina",828.809046231594,0
1997,0.902,894.81795477252,"SC",2007,"South Carolina",845.309012307569,0
1998,0.902,928.491107087549,"SC",2007,"South Carolina",873.933912349973,0
1999,0.902,934.448548799335,"SC",2007,"South Carolina",911.963051289029,0
2000,0.902,934.633344160094,"SC",2007,"South Carolina",888.093184056053,0
2001,0.902,948.063039419165,"SC",2007,"South Carolina",864.414258473196,0
2002,0.902,891.149363168954,"SC",2007,"South Carolina",802.167334565691,0
2003,0.902,895.417963046983,"SC",2007,"South Carolina",809.165375498376,0
2004,0.902,932.439560617128,"SC",2007,"South Carolina",830.613657027814,0
2005,0.902,972.166389387854,"SC",2007,"South Carolina",847.93641164895,0
2006,0.902,1016.44426913339,"SC",2007,"South Carolina",849.480660067172,0
2007,0.902,1033.28388054787,"SC",2007,"South Carolina",909.11357530735,1
2008,0.902,1005.47760765343,"SC",2007,"South Carolina",833.032147586937,1
2009,0.902,935.642212283126,"SC",2007,"South Carolina",750.233140718322,1
2010,0.902,885.52796328057,"SC",2007,"South Carolina",701.791098765462,1
2011,0.902,908.845516982412,"SC",2007,"South Carolina",712.582850062143,1
2012,0.902,943.27540851149,"SC",2007,"South Carolina",720.814145921933,1
2013,0.902,964.171473616434,"SC",2007,"South Carolina",761.563009116305,1
2014,0.902,962.040894789007,"SC",2007,"South Carolina",755.928643924763,1
2015,0.902,1015.77967822939,"SC",2007,"South Carolina",794.627519512106,1
2016,0.902,996.762821438349,"SC",2007,"South Carolina",759.681019318014,1
2017,0.902,991.683603220138,"SC",2007,"South Carolina",767.151295779542,1
2018,0.902,1054.38928688135,"SC",2007,"South Carolina",791.987239431402,1
2019,0.902,1110.59592853681,"SC",2007,"South Carolina",820.932389641635,1
2020,0.902,1074.00087066395,"SC",2007,"South Carolina",849.960352110625,1
2021,0.902,1139.3798725141,"SC",2007,"South Carolina",891.449204180814,1
2022,0.902,1219.48013380793,"SC",2007,"South Carolina",960.321737082092,1
