"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.953,610.395362083433,"UT",2011,"Utah",620.416164870523,0
1977,0.953,620.850009265771,"UT",2011,"Utah",633.309940346583,0
1978,0.953,645.475412515278,"UT",2011,"Utah",646.592999420872,0
1979,0.953,639.852120382059,"UT",2011,"Utah",642.069276116399,0
1980,0.953,603.396232743263,"UT",2011,"Utah",614.279521155722,0
1981,0.953,606.429668631646,"UT",2011,"Utah",586.892155510848,0
1982,0.953,615.074766076882,"UT",2011,"Utah",605.127897594066,0
1983,0.953,613.438237109599,"UT",2011,"Utah",593.307199479,0
1984,0.953,659.435945653753,"UT",2011,"Utah",683.224304196862,0
1985,0.953,686.483066367893,"UT",2011,"Utah",719.271831541816,0
1986,0.953,705.651410375403,"UT",2011,"Utah",712.433018999689,0
1987,0.953,720.198988442087,"UT",2011,"Utah",722.553007014082,0
1988,0.953,764.311310176026,"UT",2011,"Utah",765.778967109675,0
1989,0.953,770.496370194747,"UT",2011,"Utah",723.952505081901,0
1990,0.953,779.465380888128,"UT",2011,"Utah",740.385481512693,0
1991,0.953,781.863942441251,"UT",2011,"Utah",736.871655650345,0
1992,0.953,810.309415322701,"UT",2011,"Utah",747.944377350649,0
1993,0.953,840.313331896349,"UT",2011,"Utah",784.859540232937,0
1994,0.953,856.148206765202,"UT",2011,"Utah",800.686523183792,0
1995,0.953,855.160486733299,"UT",2011,"Utah",839.183761229128,0
1996,0.953,861.046946250904,"UT",2011,"Utah",859.886582834751,0
1997,0.953,888.087227913163,"UT",2011,"Utah",889.664447258242,0
1998,0.953,922.264001929906,"UT",2011,"Utah",967.708010925945,0
1999,0.953,929.374499469004,"UT",2011,"Utah",978.957350445282,0
2000,0.953,945.944750729563,"UT",2011,"Utah",984.441412880414,0
2001,0.953,957.296000589046,"UT",2011,"Utah",966.807611054033,0
2002,0.953,906.345993320627,"UT",2011,"Utah",912.023175358618,0
2003,0.953,909.313669281022,"UT",2011,"Utah",876.56043585237,0
2004,0.953,944.452543995685,"UT",2011,"Utah",892.953033905934,0
2005,0.953,978.055445810895,"UT",2011,"Utah",940.532363591056,0
2006,0.953,1019.62185760057,"UT",2011,"Utah",1004.3398263813,0
2007,0.953,1035.72237492859,"UT",2011,"Utah",1053.92976316678,0
2008,0.953,1008.86179487209,"UT",2011,"Utah",996.692585875111,0
2009,0.953,944.39443589096,"UT",2011,"Utah",886.052252874401,0
2010,0.953,895.461051179289,"UT",2011,"Utah",824.766105100538,0
2011,0.953,917.049307102685,"UT",2011,"Utah",832.210308101232,1
2012,0.953,947.624310697254,"UT",2011,"Utah",847.157192114583,1
2013,0.953,967.468535880866,"UT",2011,"Utah",888.245462080512,1
2014,0.953,964.14880693798,"UT",2011,"Utah",863.213317453006,1
2015,0.953,1018.28407840284,"UT",2011,"Utah",895.778136905306,1
2016,0.953,997.704587189231,"UT",2011,"Utah",923.794324858102,1
2017,0.953,991.287113367398,"UT",2011,"Utah",993.268887330228,1
2018,0.953,1051.17732912849,"UT",2011,"Utah",1123.9397323516,1
2019,0.953,1104.80644712947,"UT",2011,"Utah",1147.34631552631,1
2020,0.953,1068.31510074075,"UT",2011,"Utah",984.973638530904,1
2021,0.953,1136.95354098917,"UT",2011,"Utah",1313.58781692228,1
2022,0.953,1204.45141838013,"UT",2011,"Utah",1298.66643703852,1
