"year","sum_weight","syn_state","State_Acronym","year_effective","State_Name","real_NCI_cap","Post"
1976,0.941,575.437798746462,"WI",2006,"Wisconsin",853.001461633116,0
1977,0.941,586.227566566312,"WI",2006,"Wisconsin",885.139558867887,0
1978,0.941,607.079153222849,"WI",2006,"Wisconsin",925.721715355016,0
1979,0.941,600.701574835552,"WI",2006,"Wisconsin",862.724083718327,0
1980,0.941,560.326075025353,"WI",2006,"Wisconsin",786.815686677461,0
1981,0.941,564.160458986964,"WI",2006,"Wisconsin",785.289335682042,0
1982,0.941,580.258402091461,"WI",2006,"Wisconsin",791.424817709137,0
1983,0.941,577.896076364409,"WI",2006,"Wisconsin",841.414362101522,0
1984,0.941,627.437821033963,"WI",2006,"Wisconsin",959.86078782054,0
1985,0.941,653.309163315125,"WI",2006,"Wisconsin",919.917490337189,0
1986,0.941,671.489330453703,"WI",2006,"Wisconsin",975.400334270186,0
1987,0.941,685.999239569939,"WI",2006,"Wisconsin",958.577791346718,0
1988,0.941,716.310340957937,"WI",2006,"Wisconsin",971.829580458271,0
1989,0.941,719.672241503634,"WI",2006,"Wisconsin",989.564567200479,0
1990,0.941,731.051306980063,"WI",2006,"Wisconsin",955.351220467145,0
1991,0.941,726.478833046233,"WI",2006,"Wisconsin",974.838594729363,0
1992,0.941,756.426397714198,"WI",2006,"Wisconsin",990.032576363976,0
1993,0.941,789.038714887103,"WI",2006,"Wisconsin",1021.70840680131,0
1994,0.941,802.710078514442,"WI",2006,"Wisconsin",1044.34515452852,0
1995,0.941,804.753213468163,"WI",2006,"Wisconsin",1067.67362859507,0
1996,0.941,809.504909493529,"WI",2006,"Wisconsin",1104.32562160546,0
1997,0.941,840.634989624008,"WI",2006,"Wisconsin",1143.94458815001,0
1998,0.941,876.687548313875,"WI",2006,"Wisconsin",1229.91583618753,0
1999,0.941,907.682951777934,"WI",2006,"Wisconsin",1252.60312934101,0
2000,0.941,925.001796696348,"WI",2006,"Wisconsin",1296.41646128898,0
2001,0.941,935.683826186771,"WI",2006,"Wisconsin",1177.25240111193,0
2002,0.941,885.884311960583,"WI",2006,"Wisconsin",1160.57505310599,0
2003,0.941,887.3267856355,"WI",2006,"Wisconsin",1146.95255305657,0
2004,0.941,926.031696807488,"WI",2006,"Wisconsin",1147.87649851426,0
2005,0.941,969.625884336279,"WI",2006,"Wisconsin",1141.97699059374,0
2006,0.941,1007.63277713727,"WI",2006,"Wisconsin",1154.94538560773,1
2007,0.941,1027.49673764702,"WI",2006,"Wisconsin",1165.53685835059,1
2008,0.941,1001.70395519536,"WI",2006,"Wisconsin",1156.99083624979,1
2009,0.941,944.854385455203,"WI",2006,"Wisconsin",1133.82787155311,1
2010,0.941,896.253969215026,"WI",2006,"Wisconsin",1089.33127612697,1
2011,0.941,924.754502031792,"WI",2006,"Wisconsin",1129.49471471997,1
2012,0.941,945.641353951176,"WI",2006,"Wisconsin",1146.6775267352,1
2013,0.941,961.38301617238,"WI",2006,"Wisconsin",1164.56518496748,1
2014,0.941,963.190629979648,"WI",2006,"Wisconsin",1129.46803557524,1
2015,0.941,1012.00134627829,"WI",2006,"Wisconsin",1170.40716216479,1
2016,0.941,988.078696044577,"WI",2006,"Wisconsin",1202.14325720302,1
2017,0.941,983.14499878008,"WI",2006,"Wisconsin",1209.75486681335,1
2018,0.941,1036.46466083442,"WI",2006,"Wisconsin",1220.05215887671,1
2019,0.941,1085.80343663091,"WI",2006,"Wisconsin",1246.85216108026,1
2020,0.941,1054.29318017919,"WI",2006,"Wisconsin",1217.83805892473,1
2021,0.941,1141.21827240954,"WI",2006,"Wisconsin",1241.68143603342,1
2022,0.941,1184.49696782685,"WI",2006,"Wisconsin",1185.49511020407,1
